"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments"
"Spinops sternbergorum","Spinops sternbergorum","Farke et al.","2011","A. A. Farke, M. J. Ryan, and P. M. Barrett, D. H. Tanke, D. R. Braman, M. A. Loewen, M. R. Graham. 2011. A new centrosaurine from the Late Cretaceous of Alberta, Canada, and the evolution of parietal ornamentation in horned dinosaurs. Acta Palaeontologica Polonica 56(4):691-702","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Spinops","39514","215070","Thomas Halliday",NA,"English","dinosauria","valid","Vicinity of Red Deer River, Steveville Badlands, Alberta","Canada","UK","Natural History Museum, London","NHMUK R16307","group",NA,"Charles and Levi Sternberg",NA,NA,"USA; USA","retrieved from external source","The original collectors of the specimen","morphological characteristics","Latin/Greek",NA,NA,NA,NA,NA,"""Spine face""","Raymond M Alf Museum of Paleontology (AAF); Cleveland Museum of Natural History (MJR); Natural History Museum London (PMB); Royal Tyrrell Museum of Palaeontology (DHT); Royal Tyrrell Museum of Palaeontology (DRB); University of Utah (MAL); Natural History Museum London (MRG)","USA; USA; UK; Canada; Canada; USA; UK",NA,"FALSE",NA
"Zhongjianornis yangi","Zhongjianornis yangi","Zhou et al.","2010","Z. Zhou, F. Zhang, and Z. Li. 2010. A new Lower Cretaceous bird from China and tooth reduction in early avian evolution. Proceedings of the Royal Society B 277:219-227","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Zhongjianornis","32741","197824","Thomas Halliday",NA,"English","aves","valid","Jianchang, Liaoning","China","China","Institute of Vertebrate Paleontology and Paleoanthropology","IVPP V15900","person",NA,"Professor Zhongjian Yang","male","based on paper","China","explicitly stated in paper","""father of Chinese vertebrate paleontology and founder of the IVPP""","person",NA,"Professor Zhongjian Yang","male","based on paper","China","explicitly stated in paper","""father of Chinese vertebrate paleontology and founder of the IVPP""","Institute of Vertebrate Paleontology and Paleoanthropology; Institute of Vertebrate Paleontology and Paleoanthropology; Institute of Vertebrate Paleontology and Paleoanthropology","China; China; China",NA,"FALSE",NA
"Paludititan nalatzensis","Paludititan nalatzensis","Csiki et al.","2010","Z. Csiki, V. Codrea, and C. Jipa-Murzea, P. Godefroit. 2010. A partial titanosaur (Sauropoda, Dinosauria) skeleton from the Maastrichtian of Nalat-Vad, Hateg Basin, Romania. Neues Jahrbuch für Geologie und Paläontologie Abhandlungen 258(3):297-324","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Paludititan","37255","197175","Nussaïbah B. Raja","NA","English","dinosauria","valid","Sânpetru Formation, N<U+02D8>ala¸t-Vad, Ha¸teg Basin","Romania","Romania","Babes-Bolyai University","UBB NVM1, UBB NVM1-43, UBB NVM1-44, UBB NVM 1-45, UBB NVM1-12, UBB NVM1-20, UBB NVM1-22 to UBB NVM1-25, UBB NVM1-27 to UBB NVM1-42, UBB NVM1-3, UBB NVM1-50, UBB NVM1-58, UBB NVM1-1 – 2, UBB NVM1-2, UBB NVM1-21, UBB NVM1-26, UBB NVM 1-46, UBB NVM1-47, UBB NVM1-48, UBB NVM1-49, UBB NVM1-19,UBB NVM1-57, UBB NVM1-4 to UBB NVM1-9, UBB NVM1-15 to UBB NVM1-18, UBB NVM1-13, UBB NVM1-45, UBB NVM1-53, UBB NVM1-10, UBB NVM1-11, UBB NVM1-59, UBB NVM1-51, UBB NVM 1-52","location/geography",NA,NA,NA,NA,"Romania","explicitly stated in paper","After N<U+02D8>ala¸t-Vad, the locality yielding the type specimen","environmental conditions","Greek",NA,NA,NA,NA,NA,"After paludos (Greek), meaning marshy, as a referral to the wetland environment reconstructed for the type locality","University of Bucharest; Babe¸s-Bolyai University; Babe¸s-Bolyai University; Département de paléontologie, Institut Royal des Sciences Naturelles de Belgique","Romania; Romania; Romania; France",NA,"FALSE",NA
"Balaur bondoc","Balaur bondoc","Csiki et al.","2010","Z. Csiki, M. Vremir, and S. L. Brusatte, M. A. Norell. 2010. An aberrant island-dwelling theropod dinosaur from the Late Cretaceous of Romania. Proceedings of the National Academy of Sciences 107(35):15357-15361","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Balaur","33802","170643","Thomas Halliday",NA,"English","dinosauria","valid","Sebes, Alba County","Romania","Romania","Transylvanian Museum Society, Department of Natural Sciences, Cluj-Napoca","EME PV.313","in relation to other taxa","Romanian",NA,NA,NA,NA,NA,"""stocky""","folklore/religion","Romanian",NA,NA,NA,NA,NA,"The balaur is a type of dragon","University of Bucharest (ZC); Transylvanian Museum Society (MV); American Museum of Natural History (SLB); Columbia University (SLB); American Museum of Natural History (MAN); Columbia University (MAN)","Romania; Romania; USA; USA",NA,"FALSE",NA
"Jinzhouornis yixianensis","Jinzhouornis yixianensis","Hou et al.","2002","Hou et al. [not able to find full author list] 2002. Mesozoic Birds from Western Liaoning in China [in Chinese]. pp.1-120","Chordata","Aves","NO_ORDER_SPECIFIED","Confuciusornithidae","Jinzhouornis","37362","197821","Bryan Gee; Thomas Wong Hearing","NA",NA,"aves","invalid (other)",NA,NA,NA,NA,"NULL","location/geography",NA,NA,NA,NA,NA,NA,"After the Yixian formation","location/geography",NA,NA,NA,NA,NA,NA,"Jinzhou, a city in Liaoning close to the site",NA,NA,NA,"FALSE","Junior synonym of Confusciusornis sanctus (Chiappe et al., 2008)"
"Jinzhouornis zhangjiyingia","Jinzhouornis zhangjiyingia","Hou et al.","2002","Hou et al. [not able to find full author list] 2002. Mesozoic Birds from Western Liaoning in China [in Chinese]. pp.1-120","Chordata","Aves","NO_ORDER_SPECIFIED","Confuciusornithidae","Jinzhouornis","37362","197822","Bryan Gee; Thomas Wong Hearing","NA",NA,"aves","invalid (other)",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"Jinzhou, a city in Liaoning close to the site",NA,NA,NA,"FALSE","Junior synonym of Confusciusornis sanctus (Chiappe et al., 2008)"
"Jixiangornis orientalis","Jixiangornis orientalis","Ji et al.","2002","Q. Ji, S. Ji, H. Zhang, H. You, J. Zhang, L. Wang, C. Yuan and X. Ji. 2002. A new avialian bird-Jixiangornis orientalis gen. et sp. nov.-from the Lower Cretaceous of western Liaoning, NE China. Nanjing University Natural Sciences Edition 38(6):723-736","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Jixiangornis","37362","197817","Bryan Gee; Thomas Wong Hearing","NA",NA,"aves",NA,NA,NA,NA,NA,"NULL","location/geography",NA,NA,NA,NA,NA,NA,"""from the east""","person",NA,"Yin Jixiang",NA,NA,NA,NA,"Chinese geologist",NA,NA,NA,"TRUE","Genus etymology from Holtz (2007)"
"Fukuititan nipponensis","Fukuititan nipponensis","Azuma and Shibata","2010","Y. Azuma and M. Shibata. 2010. Fukuititan nipponensis, a new titanosauriform sauropod from the Early Cretaceous Tetori Group of Fukui Prefecture, Japan. Acta Geologica Sinica 84(3):454-462","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Fukuititan","37922","202264","Nussaïbah B. Raja","NA","English","dinosauria","valid","The Kitadani Dinosaur Quarry, Katsuyama City","Japan","Japan","Fukui Prefectural Dinosaur Museum","FPDM-V8468-1 to FPDM-V8468-20","location/geography",NA,NA,NA,NA,"Japan","explicitly stated in paper","The specific name refers to Japan","location/geography",NA,NA,NA,NA,"Japan","explicitly stated in paper","refers to the dinosaur found from the Fukui Prefectural of Japan","Fukui Prefectural Dinosaur Museum","Japan",NA,"FALSE",NA
"Koreaceratops hwaseongensis","Koreaceratops hwaseongensis","Lee et al.","2010","Y.-N. Lee, M. J. Ryan, and Y. Kobayashi. 2010. The first ceratopsian dinosaur from South Korea. Naturwissenschaften","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Leptoceratopsidae","Koreaceratops","35022","176310","Nussaïbah B. Raja","NA","English","dinosauria","valid","The Tando Basin","South Korea","South Korea","Korea Institute of Geoscience and Mineral Resources, Vertebrate Paleontology","KIGAM VP 200801","location/geography",NA,NA,NA,NA,"South Korea","explicitly stated in paper","after Hwaseong City","location/geography",NA,NA,NA,NA,"South Korea","inferred from paper","after Korea","Korea Institute of Geoscience and Mineral Resources; Cleveland Museum of Natural History; Hokkaido University Museum","South Korea; USA; Japan",NA,"FALSE",NA
"Zhuchengceratops inexpectus","Zhuchengceratops inexpectus","Xu et al.","2010","X. Xu, K. Wang, and X. Zhao, C. Sullivan, S. Chen. 2010. A new leptoceratopsid (Ornithischia: Ceratopsia) from the Upper Cretaceous of Shandong, China and its implications for neoceratopsian evolution. PLoS One 5(11/e13835):1-14","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Leptoceratopsidae","Zhuchengceratops","34152","172380","William Foster","NA",NA,"dinosauria","valid","Kugou, Zhucheng County, Shandong Province, China","China","China","Zhucheng Dinosaur Museum","ZCDM V0015","other","Latin",NA,NA,NA,NA,NA,"species name inexpectus refers to the unexpected discovery of an articulated skeleton in the Zhucheng bone-beds.","location/geography",NA,NA,NA,NA,NA,NA,"Genus name from Zhucheng (the county that includes the type locality) and ceratops (horn-face, Latinized Greek)","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, China; Zhucheng Dinosaur Museum, Bureau of Tourism, Zhucheng, Shandong, China; Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing, China; Zhucheng Dinosaur Museum, Bureau of Tourism, Zhucheng, Shandong, China","China; China; China; China; China",NA,"FALSE",NA
"Sinoceratops zhuchengensis","Sinoceratops zhuchengensis","Xu et al.","2010","X. Xu, K.-B. Wang, and X.-J. Zhao, D.-J. Li. 2010. First ceratopsid dinosaur from China and its biogeographical implications. Chinese Science Bulletin 55(16):1631-1635","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Sinoceratops","32999","168665","Nussaïbah B. Raja",NA,"English","dinosauria","valid","Zangjiazhuang,  Zhucheng,  Shandong  Province","China","China","Zhucheng  Dinosaur  Museum","ZCDM V0010","location/geography",NA,NA,NA,NA,"China","explicitly stated in paper","Zhucheng (the place that produced the specimens described here).","location/geography",NA,NA,NA,NA,"China","explicitly stated in paper","Sino  (China)  and  ceratops  (horned-face,  Latinized  Greek)","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology & Paleoanthropology, Chinese Academy of Sciences; Bureau of Tourism, Zhucheng; Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology & Paleoanthropology, Chinese Academy of Sciences; Bureau of Tourism, Zhucheng","China; China; China; China",NA,"FALSE",NA
"Linheraptor exquisitus","Linheraptor exquisitus","Xu et al.","2010","X. Xu, J. N. Choiniere, and M. Pittman, Q. Tan, D. Xiao, Z. Li, J. M. Clark, M. A. Norell, D. W. E. Hone, C. Sullivan. 2010. A new dromaeosaurid (Dinosauria: Theropoda) from the Upper Cretaceous Wulansuhai Formation of Inner Mongolia, China. Zootaxa 2403:1-9","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Linheraptor","36118","185191","Thomas Wong Hearing","NA","English","dinosauria","valid","Bayan Mandahu, “The Gate” locality, Wulansuhai Formation, Campanian, Upper Cretaceous, Inner Mongolia, China","China","China","Institute of Vertebrate Paleontology & Paleoanthropology","IVPP V 16923","other",NA,NA,NA,NA,NA,NA,"""specific name refers to the exceptional preservation of the holotype specimen""","location/geography",NA,NA,NA,NA,NA,NA,"""The generic name refers to the animal’s status as a predatory dinosaur (‘raptor’) from Linhe, Nei Mongol, China (area of origin)""","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology & Paleoanthropology, Chinese Academy of Sciences, 142 Xiwai Street, Beijing 100044; Department of Biological Sciences, George Washington University, 2023 G Street NW, Washington, DC 20052; Department of Earth Sciences, University College London, Gower Street, London, WC1E 6BT; Long Hao Institute of Geology and Paleontology, Hohhot, Nei Mongol 010010; Department of Land and Resources, Linhe, Nei Mongol 015000; Division of Paleontology, American Museum of Natural History, Central Park West at 79th St., New York, 10024","China; USA; UK; China; China; USA",NA,"FALSE",NA
"Xixianykus zhangi","Xixianykus zhangi","Xu et al.","2010","X. Xu, D.-Y. Wang, and C. Sullivan, D. W. E. Hone, F.-L. Han, R.-H. Yan, F.-M. Du. 2010. A basal parvicursorine (Theropoda: Alvarezsauridae) from the Upper Cretaceous of China. Zootaxa 2413:1-19","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Xixianykus","32350","165128","Thomas Wong Hearing","NA","English","dinosauria","valid","Zhoujiagou, Yangcheng, Xixia County, Henan Province. Majiacun Formation","China","China","Xixia Museum of Dinosaur Fossil Eggs of China","XMDFEC V0011","person",NA,"Prof. Zhang Wentang","male","assumed from ending","China","explicitly stated in paper","""specific name is in honor of Prof. Zhang Wentang, who has contributed greatly to the study of paleontology in Henan Province""","location/geography","Greek",NA,NA,NA,NA,NA,"""Generic name from Xixia (area of origin), and onyx (Greek), claw.""","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology & Paleoanthropology, Chinese Academy of Sciences, Beijing 100044; Scientific Academy of Land and Resources of Henan, Zhengzhou 450000; Xixia Museum of Dinosaur Fossil Eggs of China, Xixia, Henan 474550","China; China; China",NA,"FALSE",NA
"Banji long","Banji long","Xu and Han","2010","X. Xu and F.-L. Han. 2010. A new oviraptorid dinosaur (Theropoda: Oviraptorosauria) from the Upper Cretaceous of China. Vertebrata PalAsiatica 48(1):11-18","Chordata","Saurischia","Avetheropoda","Oviraptoridae","Banji","33857","172315","William Foster","NA","English","dinosauria","valid","Hongcheng Basin near Ganzhou City, Jiangxi Province.","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V 16896","other","Chinese (Mandarin)",NA,NA,NA,NA,NA,"long, the Chinese word for dragon","morphological characteristics","Chinese",NA,NA,NA,NA,NA,"Genus name from ‘ban<U+7237>, speckle, but sometimes referring to stripes in Chinese, and ‘ji<U+7237>, crest; refers to the animal<U+7237>s bearing a crest with distinctive striations over the snout.","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences Beijing; Graduate University of Chinese Academy of Sciences Beijing","China; China",NA,"FALSE",NA
"Huoshanornis huji","Huoshanornis huji","Wang et al.","2010","X. Wang, Z. Zhang, and C. Gao, L. Hou, Q. Meng, J. Liu. 2010. A new enantiornithine bird from the Early Cretaceous of western Liaoning, China. The Condor 112(3):432-437","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Huoshanornis","35968","184223","Thomas Wong Hearing","NA","English; Spanish abstract","aves","valid","Dapingfang, Chaoyang County, western Liaoning","China","China","Dalian Natural Museum","D2126","environmental conditions","Chinese (Mandarin pinyin)",NA,NA,NA,NA,NA,"""From the Chinese pinyin huoshan, which means volcano, and ornis, from the Greek word for bird. The species name huji represents an abbreviation in Chinese pinyin and refers to the lacustrine deposits characteristic of Jiufotang and Yixian formations in western Liaoning province.""","environmental conditions","Chinese (Mandarin pinyin)",NA,NA,NA,NA,NA,"""From the Chinese pinyin huoshan, which means volcano, and ornis, from the Greek word for bird. ... generic name reflects the geoenvironmental background of the Early Cretaceous, which is characterized by high rates of volcanism.""","College of Life Sciences, Capital Normal University, Beijing 100048; Dalian Natural Museum, Dalian 116023; Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences, Beijing 100044","China; China; China",NA,"FALSE",NA
"Shenqiornis mengi","Shenqiornis mengi","Wang et al.","2010","X. Wang, J. O'Connor, and B. Zhao, L. M. Chiappe, C. Gao, X. Cheng. 2010. New species of Enantiornithes (Aves: Ornithothoraces) from the Qiaotou Formation in northern Hebei, China. Acta Geologica Sinica 84(2):247-256","Chordata","Aves","NO_ORDER_SPECIFIED","Bohaiornithidae","Shenqiornis","32635","166960","Sarah Greene","NA",NA,"aves",NA,"Senjitu area, Fengning county, Hebei Province","China","China","Dalian Natural History Museum","DNHM D2950, D2951","person",NA,"Meng Qingjin","male","based on paper","China","inferred from paper","The species name is in honor of Meng Qingjin for his contribution to the study and protection of Liaoxi fossils as former Director of the Dalian Natural History Museum","other","Chinese",NA,NA,NA,NA,NA,"The generic name celebrates the successful launch of the Shenzhou 7, China's third human mission into space.","Dalian Natural History Museum; Institute of Geology, Chinese Academy of Geological Sciences; Dinosaur Institute, Natural History Museum of Los Angeles; University of Southern California","China; USA; China; USA; China; China",NA,"FALSE",NA
"Bolong yixianensis","Bolong yixianensis","Wu et al.","2010","W.-h. Wu, P. Godefroit, and D.-y. Hu. 2010. [Bolong yixianensis gen. et sp. nov.: a new iguanodontoid dinosaur from the Yixian Formation of western Liaoning, China]. Geology and Resources 19(2):127-133","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Iguanodontidae","Bolong","34473","173566","Thomas Wong Hearing",NA,"Chinese; English abstract","dinosauria","valid","Bataigou, Toutai, Yixian","China","China","Yizhou Fossil Museum","YHZ-001","location/geography",NA,NA,NA,NA,NA,NA,"""From Yixian""","group",NA,"Bo Haichen and Bo Xue",NA,NA,NA,NA,"Discoverers and excavators of the specimen. Long=dragon in Chinese","Research Center of Paleontology & Stratigraphy, Jilin University, Changchun 130061; Royal Belgian Institute of Natural Sciences, Department of Paleontology, 1000 Brussels; Paleontological Institute of Shenyang Normal University, Shenyang 110034","China; Belgium; China","Thomas Halliday (located second source of etymology)","FALSE","Etymology also presented in Wu and Godefroit (https://biblio.naturalsciences.be/library-1/rbins-staff-publications/pdfs/Chapter%2019%20-%20Wu%20-%20Godefroit.pdf)"
"Xixiposaurus suni","Xixiposaurus suni","Sekiya","2010","T. Sekiya. 2010. [A new prosauropod dinosaur from Lower Jurassic in Lufeng of Yunnan]. Global Geology 29(1):6-15","Chordata","Saurischia","NO_ORDER_SPECIFIED","Plateosauridae","Xixiposaurus","34475","173568","Thomas Wong Hearing",NA,"Chinese; English","dinosauria","valid","Lower Lufeng Formation, Lufeng County, Yunnan","China","China","World Dinosaur Valley","ZLJ0108","person",NA,"Prof. Sun Ge",NA,NA,NA,NA,"Professor at Jilin University","location/geography",NA,NA,NA,NA,NA,NA,"For the occurrence in Xixipo village in Lufeng county","Jilin University, Ministry of Education of China","China; China","Thomas Halliday","FALSE","File obtained directly from author."
"Bistahieversor sealeyi","Bistahieversor sealeyi","Carr and Williamson","2010","T. D. Carr and T. E. Williamson. 2010. Bistahieversor sealeyi, gen. et sp. nov., a new tyrannosauroid from New Mexico and the origin of deep snouts in Tyrannosauroidea. Journal of Vertebrate Paleontology 30(1):1-16","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Bistahieversor","32137","163808","Thomas Halliday",NA,"English","dinosauria","valid","Locality L-3506, Hunter Wash, Bisti/De-na-zin Wilderness Area, New Mexico","USA","USA","New Mexico Museum of Natural History","NMMNH P-27469","person",NA,"Paul Sealey","male","based on paper","USA","inferred from paper","Research associate at the NMMNH at the time, discoverer of the holotype","location/geography","Navajo",NA,NA,NA,NA,NA,"""Place of the adobe formations"", also Greek ""destroyer"", in reference to the predatory habits","Carthage College; New Mexico Museum of Natural History and Science","USA; USA",NA,"FALSE",NA
"Kosmoceratops richardsoni","Kosmoceratops richardsoni","Sampson et al.","2010","S. D. Sampson, M. A. Loewen, and A. A. Farke, E. M. Roberts, C. A. Forster, J. A. Smith, A. L. Titus. 2010. New horned dinosaurs from Utah provide evidence for intracontinental dinosaur endemism. PLoS One 5(9):e12292:1-12","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Kosmoceratops","42508","243367","William Foster","urn:lsid:zoobank.org:act:676322FC-4BDB-4FAA-9CF6-B31157F315BC",NA,"dinosauria","valid","GSENM, southern Utah, USA.","USA","USA","Utah Museum of Natural History","UMNH VP 12198","person",NA,"Scott Richardson","male","assumed from ending","USA","inferred from paper","The specific name honors Scott Richardson, who discovered the holotype and many other significant fossils from GSENM.","morphological characteristics","Greek",NA,NA,NA,NA,NA,"The generic name refers to kosmos (Greek), meaning ornamented, and ceratops (Greek), meaning horned face.","Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Raymond M. Alf Museum of Paleontology, Claremont, California, United States of America; School of Earth and Environmental Science, James Cook University, Townsville, Queensland, Australia; Department of Biological Sciences, George Washington University, Washington, D. C. United States of America; Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Grand Staircase-Escalante National Monument, Bureau of Land Management, Kanab, Utah, United States of America","USA; USA; USA; Australia; USA; USA; USA",NA,"FALSE",NA
"Utahceratops gettyi","Utahceratops gettyi","Sampson et al.","2010","S. D. Sampson, M. A. Loewen, and A. A. Farke, E. M. Roberts, C. A. Forster, J. A. Smith, A. L. Titus. 2010. New horned dinosaurs from Utah provide evidence for intracontinental dinosaur endemism. PLoS One 5(9):e12292:1-12","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Utahceratops","42508","243365","William Foster","urn:lsid:zoobank.org:act:9F099FBB-D4C9-48FA-A5E9-388915FA1A05",NA,"dinosauria","valid","GSENM, southern Utah, USA.","USA","USA","Utah Museum of Natural History","UMNH VP 16784","person",NA,"Mike Getty","male","assumed from ending","USA","inferred from paper","The species name honors Mike Getty, who discovered the holotype and who has played a pivotal role in the recovery of fossils from GSENM.","location/geography",NA,NA,NA,NA,NA,NA,"The generic name refers to Utah, the state of discovery, and ceratops, (Greek) meaning “horned face.”","Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Raymond M. Alf Museum of Paleontology, Claremont, California, United States of America; School of Earth and Environmental Science, James Cook University, Townsville, Queensland, Australia; Department of Biological Sciences, George Washington University, Washington, D. C. United States of America; Utah Museum of Natural History and Department of Geology and Geophysics, University of Utah, Salt Lake City, Utah, United States of America; Grand Staircase-Escalante National Monument, Bureau of Land Management, Kanab, Utah, United States of America","USA; USA; USA; Australia; USA; USA; USA",NA,"FALSE",NA
"Parafaveoloolithus macroporus","Parafaveoloolithus macroporus","Zhang","2010","S.-K. Zhang. 2010. [A parataxonomic revision of the Cretaceous faveoloolithid eggs of China]. Vertebrata PalAsiatica 48(3):203-219","Chordata","Saurischia","NO_ORDER_SPECIFIED","Faveoloolithidae","Parafaveoloolithus","33948","171366","William Foster","NA","Chinese & English","egg","valid","Laijia Village, Tiantai County, Zhejiang Province","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V 16858","morphological characteristics",NA,NA,NA,NA,NA,NA,"The oospecies name macroporus means “ big pore<U+51B6>, indicating that the diameter of the pores within the eggshell is large.","in relation to other taxa","Greek",NA,NA,NA,NA,NA,"Para, from Greek para, means “ beside, near faveoloolithus, from the oogenus name of Faveoloolithus ningxiaensis.","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences Beijing; Graduate University of Chinese Academy of Sciences Beijing","China",NA,"FALSE",NA
"Parafaveoloolithus microporus","Parafaveoloolithus microporus","Zhang","2010","S.-K. Zhang. 2010. [A parataxonomic revision of the Cretaceous faveoloolithid eggs of China]. Vertebrata PalAsiatica 48(3):203-219","Chordata","Saurischia","NO_ORDER_SPECIFIED","Faveoloolithidae","Parafaveoloolithus","33948","171365","William Foster","NA","Chinese & English","egg","valid","Fangshan, Tiantai County, Zhejiang Province","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V 16857","morphological characteristics",NA,NA,NA,NA,NA,NA,"The oospecies name means small pore, referring to the narrowness of the pore canals.","in relation to other taxa","Greek",NA,NA,NA,NA,NA,"Para, from Greek para, means “ beside, near faveoloolithus, from the oogenus name of Faveoloolithus ningxiaensis.","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences Beijing; Graduate University of Chinese Academy of Sciences Beijing","China",NA,"FALSE",NA
"Parafaveoloolithus tiansicunensis","Parafaveoloolithus tiansicunensis","Zhang","2010","S.-K. Zhang. 2010. [A parataxonomic revision of the Cretaceous faveoloolithid eggs of China]. Vertebrata PalAsiatica 48(3):203-219","Chordata","Saurischia","NO_ORDER_SPECIFIED","Faveoloolithidae","Parafaveoloolithus","33948","171367","William Foster","NA","Chinese & English","egg","valid","Tiansi Village, Tiantai County, Zhejiang Province","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V 16859","location/geography",NA,NA,NA,NA,NA,NA,"From “ Tiansicun<U+51B6> ( Tiansi Village), the name of the locality where the specimens were collected.","in relation to other taxa","Greek",NA,NA,NA,NA,NA,"Para, from Greek para, means “ beside, near faveoloolithus, from the oogenus name of Faveoloolithus ningxiaensis.","Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences Beijing; Graduate University of Chinese Academy of Sciences Beijing","China",NA,"FALSE",NA
"Ovaloolithus turpanensis","Ovaloolithus turpanensis","Zhang and Wang","2010","S.-K. Zhang and Q. Wang. 2010. [A new species of ovaloolithids from Turpan Basin in Xinjiang, China]. Vertebrata PalAsiatica 48(1):71-75","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ovaloolithidae","Ovaloolithus","33856","171363","William Foster","NA","Chinese & English","egg","valid","48 km south of Shisanjianfang railway station,","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V 16860","location/geography",NA,NA,NA,NA,NA,NA,"turpan, in reference to the Turpan Basin where the specimens were collected.",NA,NA,NA,NA,NA,NA,NA,NA,"Key Laboratory of Evolutionary Systematics of Vertebrates, Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences Beijing; Graduate University of Chinese Academy of Sciences Beijing","China; China",NA,"FALSE",NA
