"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments"
"Tyrannosaurus bataar","Tarbosaurus bataar","Maleev","1955","E. A. Maleev. 1955. [Giant carnivorous dinosaurs of Mongolia]. Doklady, Academy of Sciences USSR 1955, 104(4):634-637","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tarbosaurus","59137",NA,"Other; Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"morphological characteristics",NA,NA,NA,NA,NA,NA,"Means ""Tyrant lizard"", but Osborn explicitly says ""In reference to its size, which greatly exceeds that of any carnivorous land animal hitherto described""","Paleontological Institute, Russian Academy of Sciences","Russia",NA,"FALSE",NA
"Valdosaurus nigeriensis","Elrhazosaurus nigeriensis","Galton and Taquet","1982","P. M. Galton and P. Taquet. 1982. Valdosaurus, a hypsilophodontid dinosaur from the Lower Cretaceous of Europe and Africa. GÃ©obios 15(2):147-159","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Dryosauridae","Elrhazosaurus","12770",NA,"Other; Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"Valdo is a Latinised version of ""Wealden"", the geological group from which the fossil was found","University of Bridgeport;Muséum National d'Histoire Naturelle","USA; France",NA,"FALSE",NA
"Walkeria maleriensis","Alwalkeria maleriensis","Chatterjee","1987","S. Chatterjee. 1987. A new theropod dinosaur from India with remarks on the Gondwana-Laurasia connection in the Late Triassic. Gondwana 6: Stratigraphy, Sedimentology and Paleontology, G. D. McKenzie (ed.), Geophysical Monographs 41:183-189","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Alwalkeria","13245",NA,"Other; Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"person",NA,"Alick D Walker",NA,NA,NA,NA,"""In honour of his valuable contribution to Mesozoic vertebrates""","Texas Tech University","USA",NA,"FALSE","Walkeria preoccupied"
"Yandusaurus multidens","Hexinlusaurus multidens","He and Cai","1983","X. He and K. Cai. 1983. A new species of Yandusaurus (hypsilophodont dinosaur) from the Middle Jurassic of Dashanpu, Zigong, Sichuan. Journal of the Chengdu College of Geology 1:1-14","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hexinlusaurus","6970",NA,"Other; Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"Named for the Yandu District (<U+76D0><U+90FD><U+533A>) in Jiangsu province, China","Chengdu College of Geology;Chungking Natural History Museum;Zigong Historical Museum of the Salt Industry","China",NA,"FALSE",NA
"Yangchuanosaurus hepingensis","Sinraptor hepingensis","Gao","1992","Y. Gao. 1992. Yangchuanosaurus hepingensis â€“ a new species of carnosaur from Zigong, Sichuan. Vertebrata PalAsiatica 30(4):313-324","Chordata","Saurischia","Avetheropoda","Metriacanthosauridae","Sinraptor","10371",NA,"Other; Nussaïbah B. Raja",NA,NA,NA,"recombined",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"After Yongchuan district, Sichuan","Zigong Dinosaurian Museum","China",NA,"FALSE",NA
"Zigongosaurus fuxiensis","Mamenchisaurus fuxiensis","Hou et al.","1976","L.-h. Hou, S.-w. Zhou, and S.-c. Chao. 1976. [New discovery of sauropod dinosaurs from Sichuan]. Vertebrata PalAsiatica 14(3):160-165","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Mamenchisaurus","13842",NA,"Thomas Halliday",NA,"Chinese","dinosauria","recombined","Ziyuan City, Sichuan","China","China","Chongqing City Museum","CV 00261","location/geography",NA,NA,NA,NA,NA,NA,"Named for the <U+91DC><U+6EAA><U+6CB3>, or Fuxi River, near where the specimens were found","location/geography",NA,NA,NA,NA,NA,NA,"Named for Zigong city, Sichuan",NA,"Unknown",NA,"FALSE",NA
"Becklespinax",NA,"Paul","1988","G. S. Paul. 1988. Predatory Dinosaurs of the World. Simon & Schuster, New York","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Becklespinax","10350",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"person",NA,"Samuel Husband Beckles",NA,NA,NA,NA,"British fossil collector",NA,NA,NA,"FALSE","duplicate"
"Gorgosaurus",NA,"Ryan","1994","M. J. Ryan. 1994. Taphonomy of a Centrosaurus (Ornithischia: Ceratopsidae) bone bed from the Dinosaur Park Formation (upper Campanian), Alberta, Canada. Journal of Vertebrate Paleontology 14(3, suppl.):44A","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Gorgosaurus","5924",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Fierce lizard""",NA,NA,NA,"FALSE","duplicate"
"Maraapunisaurus",NA,"Cope","1878","E. D. Cope. 1878. A new species of Amphicoelias. The American Naturalist 12:563-564","Chordata","Saurischia","NO_ORDER_SPECIFIED","Rebbachisauridae","Maraapunisaurus","4411",NA,"Nussaïbah B. Raja","urn:lsid:zoobank.org:act:823399CD-025D-422C-93A1-6EAFCECB5EBA",NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"morphological characteristics","Southern Ute",NA,NA,NA,NA,NA,"""Huge"", genus erected in 2018.",NA,NA,NA,"FALSE","duplicate"
"Bissektipelta",NA,"Averianov","2002","A. O. Averianov. 2002. An ankylosaurid (Ornithischia: Ankylosauria) braincase from the Upper Cretaceous Bissekty Formation of Uzbekistan. Bulletin de l'Institute Royal des Sciences Naturelles de Belgique, Sciences de la Terre 72:97-110","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bissektipelta","31496",NA,"Nussaïbah B. Raja","urn:lsid:zoobank.org:act:BBCA7CA1-B19F-44C6-BA26-CC36E2413A2F",NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"Named for the Bissekty Formation",NA,NA,NA,"TRUE","duplicate; reference from Holtz dinosaur appendix"
"Edmontosaurus",NA,"Lull and Wright","1942","R. S. Lull and N. E. Wright. 1942. Hadrosaurian dinosaurs of North America. Geological Society of America Special Paper 40:1-242","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Edmontosaurus","12319",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography","English",NA,NA,NA,NA,NA,"Formation name, after the colonial name for the city. The Indigenous name is Amiskwaciy Waskahikan",NA,NA,NA,"FALSE","duplicate"
"Anatotitan",NA,"Lull and Wright","1942","R. S. Lull and N. E. Wright. 1942. Hadrosaurian dinosaurs of North America. Geological Society of America Special Paper 40:1-242","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Anatotitan","12319",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"in relation to other taxa",NA,NA,NA,NA,NA,NA,"""Giant duck""",NA,NA,NA,"FALSE","duplicate"
"Gyposaurus",NA,"Dong","1992","Z. Dong. 1992. Dinosaurian Faunas of China. China Ocean Press, Beijing","Chordata","Saurischia","NO_ORDER_SPECIFIED","Anchisauridae","Gyposaurus","13360",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"behavioural characteristics","Greek",NA,NA,NA,NA,NA,"""Vulture lizard"", in allusion to the then-believed behaviour of the animals as carnivorous",NA,NA,NA,"FALSE","duplicate"
"Jainosaurus",NA,"Huene and Matley","1933","F. v. Huene and C. A. Matley. 1933. The Cretaceous Saurischia and Ornithischia of the Central Provinces of India. Palaeontologica Indica (New Series), Memoirs of the Geological Survey of India 21(1):1-74","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Jainosaurus","7271",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"person",NA,"Sohan Lal Jain",NA,NA,"India","retrieved from external source","Jain worked on the nerve impressions in the specimen.",NA,NA,NA,"FALSE","duplicate"
"Lourinhasaurus",NA,"Lapparent and Zbyszewski","1957","A. F. de Lapparent and G. Zbyszewski. 1957. Les dinosauriens du Portugal [The dinosaurs of Portugal]. MÃ©moires des Services GÃ©ologiques du Portugal, nouvelle sÃ©rie 2:1-63","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Lourinhasaurus","13143",NA,"Nussaïbah B. Raja",NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"location/geography",NA,NA,NA,NA,NA,NA,"Municipality near Lisbon",NA,NA,NA,"FALSE","duplicate"
"Brontosaurus",NA,"McIntosh","1981","J. S. McIntosh. 1981. Annotated catalogue of the dinosaurs (Reptilia, Archosauria) in the collections of the Carnegie Museum of Natural History. Bulletin of Carnegie Museum of Natural History 18:1-67","Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Brontosaurus","46207",NA,"Nussaïbah B. Raja","urn:lsid:zoobank.org:act:EFEB7B1B-B3A2-4C9C-B9F1-DE816581DCC1",NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,"folklore/religion","Greek",NA,NA,NA,NA,NA,"""Thunder lizard"", in reference to its bulk. Thunder from Brontes, the forger of thunderbolts",NA,NA,NA,"FALSE","duplicate"
